Model,Accuracy,Macro F1,Weighted F1,Class 0 F1,Class 1 F1
Word + Character N-grams,0.75625,0.744,0.7587,0.8,0.688
All Features Combined,0.75625,0.744,0.7587,0.8,0.688
Character N-grams (3-5),0.7375,0.7265625,0.74091796875,0.78125,0.671875
TF-IDF + Sentiment Features,0.7375,0.7265625,0.74091796875,0.78125,0.671875
TF-IDF + Statistical Features,0.725,0.7163120567375887,0.7293439716312056,0.7659574468085106,0.6666666666666666
