Model,Accuracy,Macro F1,Weighted F1,Class 0 F1,Class 1 F1
Tuned Logistic Regression,0.73125,0.7207678883071553,0.7349694589877835,0.774869109947644,0.6666666666666666
Tuned Random Forest,0.73125,0.7177435897435898,0.7339512820512821,0.7794871794871795,0.656
Tuned SVM,0.725,0.7085610200364298,0.7267304189435337,0.7777777777777778,0.639344262295082
Tuned Gradient Boosting,0.725,0.6764111049825335,0.7093261628975915,0.8018018018018018,0.5510204081632653
