Model,Accuracy,Macro F1,Weighted F1,Class 0 F1,Class 1 F1
Weighted Ensemble,0.75,0.7274740248679952,0.7480412195537387,0.8058252427184466,0.6491228070175439
Stacking Ensemble,0.71875,0.6896417949049528,0.7145916849864218,0.784688995215311,0.5945945945945946
Voting Ensemble (Soft),0.70625,0.6730292621418323,0.7003875168485586,0.7772511848341233,0.5688073394495413
