Model,Accuracy,Macro F1,Weighted F1,Class 0 F1,Class 1 F1
SMOTE Oversampling,0.7375,0.7265625,0.74091796875,0.78125,0.671875
Random Oversampling,0.7375,0.7265625,0.74091796875,0.78125,0.671875
Text Augmentation,0.73125,0.7160661961949568,0.7333018653790598,0.7817258883248731,0.6504065040650406
Class Weight Balanced,0.725,0.7149797570850203,0.7290080971659918,0.7684210526315789,0.6615384615384615
Random Undersampling,0.71875,0.7105062120541996,0.7233298821921114,0.7593582887700535,0.6616541353383458
Baseline (Imbalanced),0.73125,0.688955196889552,0.7190633618156336,0.8036529680365296,0.5742574257425742
