Model,Accuracy,Macro F1,Weighted F1,Class 0 F1,Class 1 F1
roberta-base,0.8125,0.7986239301896292,0.8125,0.8514851485148515,0.7457627118644068
distilbert-base-uncased,0.80625,0.7823702338642446,0.8012938221227678,0.8544600938967136,0.7102803738317757
bert-base-uncased,0.78125,0.7565111526588113,0.7768843210574372,0.8341232227488151,0.6788990825688074
xlm-roberta-base,0.76875,0.7524980141310256,0.7691463898992433,0.8159203980099502,0.6890756302521008
